#Tree ring data from a series of sites from Kruger National Park and Wit sRural. Sites are in sites.csv. Species designation - COMO = Colophospermum mopane,,,,,,
YEAR,SITE,MAP,SOIL,SPECIES,UID,RINGW
2010,1,,,COMO,s01co1,114
2009,1,,,COMO,s01co1,189
2008,1,,,COMO,s01co1,183
2007,1,,,COMO,s01co1,40
2006,1,,,COMO,s01co1,426
2005,1,,,COMO,s01co1,209
2004,1,,,COMO,s01co1,137
2003,1,,,COMO,s01co1,61
2002,1,,,COMO,s01co1,148
2010,1,,,COMO,s01co2,113
2009,1,,,COMO,s01co2,42
2008,1,,,COMO,s01co2,92
2007,1,,,COMO,s01co2,92
2006,1,,,COMO,s01co2,159
2005,1,,,COMO,s01co2,188
2004,1,,,COMO,s01co2,185
2003,1,,,COMO,s01co2,106
2002,1,,,COMO,s01co2,70
2010,1,,,COMO,s01co3,257
2009,1,,,COMO,s01co3,209
2008,1,,,COMO,s01co3,96
2007,1,,,COMO,s01co3,96
2006,1,,,COMO,s01co3,160
2005,1,,,COMO,s01co3,90
2004,1,,,COMO,s01co3,100
2003,1,,,COMO,s01co3,78
2002,1,,,COMO,s01co3,146
2010,4,,,COMO,s04co1,307
2009,4,,,COMO,s04co1,364
2008,4,,,COMO,s04co1,144
2007,4,,,COMO,s04co1,480
2006,4,,,COMO,s04co1,103
2005,4,,,COMO,s04co1,364
2004,4,,,COMO,s04co1,51
2010,4,,,COMO,s04co2,132
2009,4,,,COMO,s04co2,186
2008,4,,,COMO,s04co2,80
2007,4,,,COMO,s04co2,269
2006,4,,,COMO,s04co2,272
2005,4,,,COMO,s04co2,242
2004,4,,,COMO,s04co2,233
2010,4,,,COMO,s04co3,164
2009,4,,,COMO,s04co3,229
2008,4,,,COMO,s04co3,270
2007,4,,,COMO,s04co3,303
2010,5,,,COMO,s05co1,99
2009,5,,,COMO,s05co1,79
2008,5,,,COMO,s05co1,62
2007,5,,,COMO,s05co1,67
2006,5,,,COMO,s05co1,75
2005,5,,,COMO,s05co1,129
2004,5,,,COMO,s05co1,88
2003,5,,,COMO,s05co1,132
2002,5,,,COMO,s05co1,85
2001,5,,,COMO,s05co1,60
2000,5,,,COMO,s05co1,79
2010,5,,,COMO,s05co2,622
2009,5,,,COMO,s05co2,153
2008,5,,,COMO,s05co2,44
2007,5,,,COMO,s05co2,44
2006,5,,,COMO,s05co2,331
2005,5,,,COMO,s05co2,100
2004,5,,,COMO,s05co2,93
2003,5,,,COMO,s05co2,83
2002,5,,,COMO,s05co2,240
2010,5,,,COMO,s05co3,286
2009,5,,,COMO,s05co3,82
2008,5,,,COMO,s05co3,315
2007,5,,,COMO,s05co3,73
2006,5,,,COMO,s05co3,180
2005,5,,,COMO,s05co3,107
2004,5,,,COMO,s05co3,117
2003,5,,,COMO,s05co3,164
2002,5,,,COMO,s05co3,73
2001,5,,,COMO,s05co3,306
2010,5,,,COMO,s05co4,55
2009,5,,,COMO,s05co4,96
2008,5,,,COMO,s05co4,101
2007,5,,,COMO,s05co4,84
2006,5,,,COMO,s05co4,140
2005,5,,,COMO,s05co4,283
2004,5,,,COMO,s05co4,70
2003,5,,,COMO,s05co4,94
2002,5,,,COMO,s05co4,68
2001,5,,,COMO,s05co4,80
2000,5,,,COMO,s05co4,136
2010,8,,,COMO,s08co1,52
2009,8,,,COMO,s08co1,240
2008,8,,,COMO,s08co1,185
2007,8,,,COMO,s08co1,63
2006,8,,,COMO,s08co1,150
2005,8,,,COMO,s08co1,189
2004,8,,,COMO,s08co1,284
2010,8,,,COMO,s08co2,128
2009,8,,,COMO,s08co2,197
2008,8,,,COMO,s08co2,248
2007,8,,,COMO,s08co2,117
2006,8,,,COMO,s08co2,111
2005,8,,,COMO,s08co2,69
2004,8,,,COMO,s08co2,135
2010,8,,,COMO,s08co3,124
2009,8,,,COMO,s08co3,336
2008,8,,,COMO,s08co3,224
2007,8,,,COMO,s08co3,96
2006,8,,,COMO,s08co3,119
2005,8,,,COMO,s08co3,172
2010,9,,,COMO,s09co1,88
2009,9,,,COMO,s09co1,366
2008,9,,,COMO,s09co1,266
2007,9,,,COMO,s09co1,105
2006,9,,,COMO,s09co1,427
2010,9,,,COMO,s09co2,116
2009,9,,,COMO,s09co2,101
2008,9,,,COMO,s09co2,136
2007,9,,,COMO,s09co2,174
2006,9,,,COMO,s09co2,293
2005,9,,,COMO,s09co2,228
2004,9,,,COMO,s09co2,214
2003,9,,,COMO,s09co2,194
2010,9,,,COMO,s09co3,160
2009,9,,,COMO,s09co3,155
2008,9,,,COMO,s09co3,122
2007,9,,,COMO,s09co3,75
2006,9,,,COMO,s09co3,108
2005,9,,,COMO,s09co3,77
2010,14,,,COMO,s14co1,90
2009,14,,,COMO,s14co1,139
2008,14,,,COMO,s14co1,99
2007,14,,,COMO,s14co1,138
2005,14,,,COMO,s14co1,112
2005,14,,,COMO,s14co1,146
2004,14,,,COMO,s14co1,123
2010,14,,,COMO,s14co2,167
2009,14,,,COMO,s14co2,163
2008,14,,,COMO,s14co2,133
2007,14,,,COMO,s14co2,220
2005,14,,,COMO,s14co2,267
2005,14,,,COMO,s14co2,88
2010,14,,,COMO,s14co3,119
2009,14,,,COMO,s14co3,145
2008,14,,,COMO,s14co3,148
2007,14,,,COMO,s14co3,211
2005,14,,,COMO,s14co3,292
2005,14,,,COMO,s14co3,145